Location,Period,Indicator,First Tooltip
Cyprus,2005,Births attended by skilled health personnel (%),99.3
Cyprus,2004,Births attended by skilled health personnel (%),95.7
Cyprus,2000,Births attended by skilled health personnel (%),97.9
Czechia,2017,Births attended by skilled health personnel (%),99.8
Czechia,2014,Births attended by skilled health personnel (%),99.8
Czechia,2013,Births attended by skilled health personnel (%),99.8
Czechia,2012,Births attended by skilled health personnel (%),99.9
Czechia,2011,Births attended by skilled health personnel (%),99.9
Czechia,2010,Births attended by skilled health personnel (%),99.7
Czechia,2009,Births attended by skilled health personnel (%),99.6
Czechia,2008,Births attended by skilled health personnel (%),99.6
Czechia,2007,Births attended by skilled health personnel (%),99.7
Czechia,2006,Births attended by skilled health personnel (%),99.7
Czechia,2005,Births attended by skilled health personnel (%),99.8
Czechia,2004,Births attended by skilled health personnel (%),99.8
Czechia,2003,Births attended by skilled health personnel (%),99.8
Czechia,2002,Births attended by skilled health personnel (%),99.8
Czechia,2001,Births attended by skilled health personnel (%),99.8
Czechia,2000,Births attended by skilled health personnel (%),99.8
Democratic People's Republic of Korea,2017,Births attended by skilled health personnel (%),99.5
Democratic People's Republic of Korea,2009,Births attended by skilled health personnel (%),100
Democratic People's Republic of Korea,2004,Births attended by skilled health personnel (%),97.1
Democratic Republic of the Congo,2014,Births attended by skilled health personnel (%),80.1
Democratic Republic of the Congo,2010,Births attended by skilled health personnel (%),74.1
Democratic Republic of the Congo,2007,Births attended by skilled health personnel (%),64.4
Democratic Republic of the Congo,2001,Births attended by skilled health personnel (%),60.7
Denmark,2018,Births attended by skilled health personnel (%),95.3
Denmark,2017,Births attended by skilled health personnel (%),94.7
Denmark,2016,Births attended by skilled health personnel (%),94.4
Denmark,2015,Births attended by skilled health personnel (%),95.4
Denmark,2014,Births attended by skilled health personnel (%),95.9
Denmark,2013,Births attended by skilled health personnel (%),96.3
Denmark,2012,Births attended by skilled health personnel (%),98.2
Denmark,2011,Births attended by skilled health personnel (%),98.5
Denmark,2010,Births attended by skilled health personnel (%),98.5
Denmark,2009,Births attended by skilled health personnel (%),98.7
Denmark,2007,Births attended by skilled health personnel (%),97.8
Denmark,2006,Births attended by skilled health personnel (%),98.7
Denmark,2005,Births attended by skilled health personnel (%),98.8
Denmark,2004,Births attended by skilled health personnel (%),98.6
Denmark,2003,Births attended by skilled health personnel (%),98.9
Denmark,2002,Births attended by skilled health personnel (%),98.8
Denmark,2001,Births attended by skilled health personnel (%),98.9
Denmark,2000,Births attended by skilled health personnel (%),98.8
Djibouti,2012,Births attended by skilled health personnel (%),87.4
Djibouti,2006,Births attended by skilled health personnel (%),78.4
Djibouti,2003,Births attended by skilled health personnel (%),60.6
Dominica,2017,Births attended by skilled health personnel (%),100
Dominica,2016,Births attended by skilled health personnel (%),100
Dominica,2015,Births attended by skilled health personnel (%),100
Dominica,2014,Births attended by skilled health personnel (%),100
Dominica,2013,Births attended by skilled health personnel (%),100
Dominica,2012,Births attended by skilled health personnel (%),100
Dominica,2011,Births attended by skilled health personnel (%),100
Dominica,2010,Births attended by skilled health personnel (%),100
Dominica,2009,Births attended by skilled health personnel (%),100
Dominica,2008,Births attended by skilled health personnel (%),100
Dominica,2007,Births attended by skilled health personnel (%),94
Dominica,2005,Births attended by skilled health personnel (%),99
Dominica,2004,Births attended by skilled health personnel (%),100
Dominica,2003,Births attended by skilled health personnel (%),100
Dominica,2002,Births attended by skilled health personnel (%),100
Dominica,2000,Births attended by skilled health personnel (%),100
Dominican Republic,2016,Births attended by skilled health personnel (%),99.8
Dominican Republic,2015,Births attended by skilled health personnel (%),99.6
Dominican Republic,2014,Births attended by skilled health personnel (%),97.7
Dominican Republic,2013,Births attended by skilled health personnel (%),98.7
Dominican Republic,2012,Births attended by skilled health personnel (%),98.8
Dominican Republic,2011,Births attended by skilled health personnel (%),98.7
Dominican Republic,2010,Births attended by skilled health personnel (%),97.8
Dominican Republic,2007,Births attended by skilled health personnel (%),97.8
Dominican Republic,2006,Births attended by skilled health personnel (%),95.5
Ecuador,2018,Births attended by skilled health personnel (%),96
Ecuador,2017,Births attended by skilled health personnel (%),96.4
Ecuador,2016,Births attended by skilled health personnel (%),95.9
Ecuador,2015,Births attended by skilled health personnel (%),94.2
Ecuador,2014,Births attended by skilled health personnel (%),94.7
Ecuador,2013,Births attended by skilled health personnel (%),93.3
Ecuador,2012,Births attended by skilled health personnel (%),91.7
Ecuador,2011,Births attended by skilled health personnel (%),89.7
Ecuador,2010,Births attended by skilled health personnel (%),87.4
Ecuador,2009,Births attended by skilled health personnel (%),85.6
Ecuador,2008,Births attended by skilled health personnel (%),84
Ecuador,2007,Births attended by skilled health personnel (%),82
Ecuador,2006,Births attended by skilled health personnel (%),80.6
Ecuador,2005,Births attended by skilled health personnel (%),78.5
Ecuador,2004,Births attended by skilled health personnel (%),76.4
Egypt,2014,Births attended by skilled health personnel (%),91.5
Egypt,2008,Births attended by skilled health personnel (%),78.9
Egypt,2005,Births attended by skilled health personnel (%),74.2
El Salvador,2018,Births attended by skilled health personnel (%),99.9
El Salvador,2017,Births attended by skilled health personnel (%),99.9
El Salvador,2016,Births attended by skilled health personnel (%),99.9
El Salvador,2015,Births attended by skilled health personnel (%),99.9
El Salvador,2014,Births attended by skilled health personnel (%),98
El Salvador,2013,Births attended by skilled health personnel (%),99.8
El Salvador,2012,Births attended by skilled health personnel (%),99.5
El Salvador,2011,Births attended by skilled health personnel (%),99
El Salvador,2010,Births attended by skilled health personnel (%),98
El Salvador,2009,Births attended by skilled health personnel (%),97.5
El Salvador,2008,Births attended by skilled health personnel (%),95.5
El Salvador,2007,Births attended by skilled health personnel (%),93.1
El Salvador,2006,Births attended by skilled health personnel (%),89.6
El Salvador,2005,Births attended by skilled health personnel (%),87.2
Equatorial Guinea,2011,Births attended by skilled health personnel (%),68.3
Eritrea,2010,Births attended by skilled health personnel (%),34.1
Estonia,2018,Births attended by skilled health personnel (%),99.1
Estonia,2017,Births attended by skilled health personnel (%),99.2
Estonia,2016,Births attended by skilled health personnel (%),99.4
Estonia,2015,Births attended by skilled health personnel (%),99.5
Estonia,2014,Births attended by skilled health personnel (%),99.4
Estonia,2013,Births attended by skilled health personnel (%),99.4
Estonia,2012,Births attended by skilled health personnel (%),99.3
Estonia,2011,Births attended by skilled health personnel (%),99.4
Estonia,2010,Births attended by skilled health personnel (%),99.3
Estonia,2009,Births attended by skilled health personnel (%),99.2
Estonia,2008,Births attended by skilled health personnel (%),99.3
Estonia,2007,Births attended by skilled health personnel (%),99.4
Estonia,2006,Births attended by skilled health personnel (%),99.5
Estonia,2005,Births attended by skilled health personnel (%),99.6
Estonia,2004,Births attended by skilled health personnel (%),99.7
Estonia,2003,Births attended by skilled health personnel (%),99.4
Estonia,2002,Births attended by skilled health personnel (%),99.5
Estonia,2001,Births attended by skilled health personnel (%),99.6
Estonia,2000,Births attended by skilled health personnel (%),99.5
Eswatini,2014,Births attended by skilled health personnel (%),88.3
Eswatini,2010,Births attended by skilled health personnel (%),82
Eswatini,2007,Births attended by skilled health personnel (%),69
Eswatini,2002,Births attended by skilled health personnel (%),74
Ethiopia,2016,Births attended by skilled health personnel (%),27.7
Ethiopia,2014,Births attended by skilled health personnel (%),15.5
Ethiopia,2011,Births attended by skilled health personnel (%),10
Ethiopia,2005,Births attended by skilled health personnel (%),5.7
Fiji,2016,Births attended by skilled health personnel (%),99.8
Fiji,2015,Births attended by skilled health personnel (%),99.9
Fiji,2014,Births attended by skilled health personnel (%),99.7
Fiji,2013,Births attended by skilled health personnel (%),99.7
Fiji,2012,Births attended by skilled health personnel (%),99.3
Fiji,2011,Births attended by skilled health personnel (%),99.6
Fiji,2010,Births attended by skilled health personnel (%),99.7
Fiji,2009,Births attended by skilled health personnel (%),99.8
Fiji,2008,Births attended by skilled health personnel (%),98.8
Fiji,2007,Births attended by skilled health personnel (%),99
Fiji,2006,Births attended by skilled health personnel (%),99.3
Fiji,2005,Births attended by skilled health personnel (%),97.2
Fiji,2004,Births attended by skilled health personnel (%),97
Fiji,2003,Births attended by skilled health personnel (%),96.7
Fiji,2002,Births attended by skilled health personnel (%),96.9
Fiji,2001,Births attended by skilled health personnel (%),98.4
Fiji,2000,Births attended by skilled health personnel (%),96.9
Finland,2018,Births attended by skilled health personnel (%),100
Finland,2017,Births attended by skilled health personnel (%),99.9
Finland,2016,Births attended by skilled health personnel (%),99.9
Finland,2015,Births attended by skilled health personnel (%),99.9
Finland,2014,Births attended by skilled health personnel (%),99.7
Finland,2012,Births attended by skilled health personnel (%),99.8
Finland,2011,Births attended by skilled health personnel (%),99.7
Finland,2010,Births attended by skilled health personnel (%),99.8
Finland,2009,Births attended by skilled health personnel (%),99.8
Finland,2008,Births attended by skilled health personnel (%),99.8
Finland,2007,Births attended by skilled health personnel (%),99.8
Finland,2006,Births attended by skilled health personnel (%),99.8
Finland,2005,Births attended by skilled health personnel (%),99.8
Finland,2004,Births attended by skilled health personnel (%),99.8
Finland,2003,Births attended by skilled health personnel (%),99.8
Finland,2002,Births attended by skilled health personnel (%),99.8
Finland,2001,Births attended by skilled health personnel (%),98.5
Finland,2000,Births attended by skilled health personnel (%),98.4
France,2018,Births attended by skilled health personnel (%),98.1
France,2017,Births attended by skilled health personnel (%),98
France,2016,Births attended by skilled health personnel (%),97.4
France,2015,Births attended by skilled health personnel (%),97.7
France,2014,Births attended by skilled health personnel (%),98.3
France,2013,Births attended by skilled health personnel (%),98.3
France,2012,Births attended by skilled health personnel (%),97.1
France,2011,Births attended by skilled health personnel (%),96.2
France,2010,Births attended by skilled health personnel (%),97.5
France,2009,Births attended by skilled health personnel (%),97.9
France,2008,Births attended by skilled health personnel (%),98
France,2007,Births attended by skilled health personnel (%),98.1
France,2006,Births attended by skilled health personnel (%),98.3
France,2005,Births attended by skilled health personnel (%),97.9
France,2004,Births attended by skilled health personnel (%),98
France,2001,Births attended by skilled health personnel (%),99.6
Gabon,2012,Births attended by skilled health personnel (%),89.3
Gambia,2018,Births attended by skilled health personnel (%),82.7
Gambia,2013,Births attended by skilled health personnel (%),57.2
Gambia,2010,Births attended by skilled health personnel (%),56.1
Gambia,2006,Births attended by skilled health personnel (%),52.1
Georgia,2018,Births attended by skilled health personnel (%),99.4
Georgia,2016,Births attended by skilled health personnel (%),99.9
Georgia,2015,Births attended by skilled health personnel (%),99.9
Georgia,2014,Births attended by skilled health personnel (%),99.9
Georgia,2013,Births attended by skilled health personnel (%),99.9
Georgia,2012,Births attended by skilled health personnel (%),99.8
Georgia,2011,Births attended by skilled health personnel (%),99.8
Georgia,2010,Births attended by skilled health personnel (%),99.6
Georgia,2009,Births attended by skilled health personnel (%),99.7
Georgia,2008,Births attended by skilled health personnel (%),99.6
Georgia,2007,Births attended by skilled health personnel (%),99.4
Georgia,2006,Births attended by skilled health personnel (%),98.8
Georgia,2005,Births attended by skilled health personnel (%),98.3
Georgia,2004,Births attended by skilled health personnel (%),97.5
Georgia,2003,Births attended by skilled health personnel (%),97.2
Georgia,2002,Births attended by skilled health personnel (%),97.4
Georgia,2001,Births attended by skilled health personnel (%),96.6
Georgia,2000,Births attended by skilled health personnel (%),95.5
Germany,2017,Births attended by skilled health personnel (%),98.8
Germany,2016,Births attended by skilled health personnel (%),97.8
Germany,2015,Births attended by skilled health personnel (%),98.8
Germany,2014,Births attended by skilled health personnel (%),98.6
Germany,2013,Births attended by skilled health personnel (%),98.5
Germany,2012,Births attended by skilled health personnel (%),98.5
Germany,2011,Births attended by skilled health personnel (%),98.4
Germany,2010,Births attended by skilled health personnel (%),98.4
Germany,2009,Births attended by skilled health personnel (%),98.3
Germany,2008,Births attended by skilled health personnel (%),98.5
Germany,2007,Births attended by skilled health personnel (%),98.4
Germany,2006,Births attended by skilled health personnel (%),98.4
Germany,2005,Births attended by skilled health personnel (%),98.2
Germany,2004,Births attended by skilled health personnel (%),98.2
Germany,2003,Births attended by skilled health personnel (%),98.6
Germany,2002,Births attended by skilled health personnel (%),98.6
Germany,2001,Births attended by skilled health personnel (%),98.6
Germany,2000,Births attended by skilled health personnel (%),98.6
Ghana,2017,Births attended by skilled health personnel (%),78.1
Ghana,2014,Births attended by skilled health personnel (%),70.8
Ghana,2011,Births attended by skilled health personnel (%),67.2
Ghana,2008,Births attended by skilled health personnel (%),54.7
Ghana,2007,Births attended by skilled health personnel (%),55.2
Ghana,2006,Births attended by skilled health personnel (%),49.7
Greece,2018,Births attended by skilled health personnel (%),99.9
Greece,2017,Births attended by skilled health personnel (%),99.93
Greece,2016,Births attended by skilled health personnel (%),99.94
Greece,2015,Births attended by skilled health personnel (%),99.94
Greece,2014,Births attended by skilled health personnel (%),99.93
Greece,2013,Births attended by skilled health personnel (%),99.91
Greece,2012,Births attended by skilled health personnel (%),99.91
Greece,2011,Births attended by skilled health personnel (%),99.96
Greece,2010,Births attended by skilled health personnel (%),99.96
Greece,2009,Births attended by skilled health personnel (%),99.95
Greece,2008,Births attended by skilled health personnel (%),99.97
Greece,2007,Births attended by skilled health personnel (%),99.98
Greece,2006,Births attended by skilled health personnel (%),99.99
Greece,2005,Births attended by skilled health personnel (%),99.97
Greece,2004,Births attended by skilled health personnel (%),99.97
Greece,2003,Births attended by skilled health personnel (%),99.98
Greece,2002,Births attended by skilled health personnel (%),99.96
Greece,2001,Births attended by skilled health personnel (%),99.95
Greece,2000,Births attended by skilled health personnel (%),99.94
Grenada,2017,Births attended by skilled health personnel (%),100
Grenada,2016,Births attended by skilled health personnel (%),99.3
Grenada,2015,Births attended by skilled health personnel (%),99
Grenada,2014,Births attended by skilled health personnel (%),99
Grenada,2013,Births attended by skilled health personnel (%),99
Grenada,2012,Births attended by skilled health personnel (%),99
Grenada,2011,Births attended by skilled health personnel (%),100
Grenada,2009,Births attended by skilled health personnel (%),100
Grenada,2007,Births attended by skilled health personnel (%),98.8
Grenada,2005,Births attended by skilled health personnel (%),100
Grenada,2003,Births attended by skilled health personnel (%),100
Grenada,2000,Births attended by skilled health personnel (%),100
Guatemala,2016,Births attended by skilled health personnel (%),69.8
Guatemala,2015,Births attended by skilled health personnel (%),65.5
Guatemala,2014,Births attended by skilled health personnel (%),67
Guatemala,2013,Births attended by skilled health personnel (%),62.8
Guatemala,2012,Births attended by skilled health personnel (%),58.7
Guatemala,2010,Births attended by skilled health personnel (%),52.3
Guatemala,2009,Births attended by skilled health personnel (%),51.5
Guatemala,2007,Births attended by skilled health personnel (%),31.4
Guinea,2018,Births attended by skilled health personnel (%),55.3
Guinea,2016,Births attended by skilled health personnel (%),62.7
Guinea,2012,Births attended by skilled health personnel (%),45.3
Guinea,2007,Births attended by skilled health personnel (%),46.1
Guinea,2005,Births attended by skilled health personnel (%),38
Guinea,2003,Births attended by skilled health personnel (%),48.7
Guinea-Bissau,2014,Births attended by skilled health personnel (%),45
Guinea-Bissau,2010,Births attended by skilled health personnel (%),43
Guinea-Bissau,2006,Births attended by skilled health personnel (%),31
Guyana,2015,Births attended by skilled health personnel (%),95.8
Guyana,2014,Births attended by skilled health personnel (%),85.7
Guyana,2013,Births attended by skilled health personnel (%),98.3
Guyana,2009,Births attended by skilled health personnel (%),87.4
Guyana,2008,Births attended by skilled health personnel (%),96
Guyana,2007,Births attended by skilled health personnel (%),93.3
Guyana,2006,Births attended by skilled health personnel (%),96.6
Guyana,2005,Births attended by skilled health personnel (%),96.7
Guyana,2004,Births attended by skilled health personnel (%),95.9
Haiti,2017,Births attended by skilled health personnel (%),41.6
Haiti,2013,Births attended by skilled health personnel (%),48.6
Haiti,2012,Births attended by skilled health personnel (%),37.3
Haiti,2006,Births attended by skilled health personnel (%),26.1
Honduras,2017,Births attended by skilled health personnel (%),74
Honduras,2016,Births attended by skilled health personnel (%),79
Honduras,2015,Births attended by skilled health personnel (%),72
Honduras,2012,Births attended by skilled health personnel (%),82.8
Honduras,2006,Births attended by skilled health personnel (%),66.3
Hungary,2017,Births attended by skilled health personnel (%),99.7
Hungary,2016,Births attended by skilled health personnel (%),99.7
Hungary,2015,Births attended by skilled health personnel (%),99.6
Hungary,2014,Births attended by skilled health personnel (%),99.2
Hungary,2013,Births attended by skilled health personnel (%),99.1
Hungary,2012,Births attended by skilled health personnel (%),99
Hungary,2011,Births attended by skilled health personnel (%),99
Hungary,2010,Births attended by skilled health personnel (%),99.1
Hungary,2009,Births attended by skilled health personnel (%),99.6
Hungary,2008,Births attended by skilled health personnel (%),99.5
Hungary,2007,Births attended by skilled health personnel (%),99.6
Hungary,2006,Births attended by skilled health personnel (%),99.7
Hungary,2005,Births attended by skilled health personnel (%),99.6
Hungary,2004,Births attended by skilled health personnel (%),99.6
Hungary,2003,Births attended by skilled health personnel (%),99.6
Hungary,2002,Births attended by skilled health personnel (%),99.6
Hungary,2001,Births attended by skilled health personnel (%),99.6
Hungary,2000,Births attended by skilled health personnel (%),99.5
Iceland,2018,Births attended by skilled health personnel (%),98.2
Iceland,2017,Births attended by skilled health personnel (%),98
Iceland,2016,Births attended by skilled health personnel (%),97.9
Iceland,2015,Births attended by skilled health personnel (%),98.2
Iceland,2014,Births attended by skilled health personnel (%),97.8
Iceland,2013,Births attended by skilled health personnel (%),98.1
Iceland,2012,Births attended by skilled health personnel (%),97.8
Iceland,2011,Births attended by skilled health personnel (%),97.9
Iceland,2010,Births attended by skilled health personnel (%),98.2
Iceland,2009,Births attended by skilled health personnel (%),98.8
Iceland,2008,Births attended by skilled health personnel (%),98.7
Iceland,2007,Births attended by skilled health personnel (%),98.9
Iceland,2006,Births attended by skilled health personnel (%),98.9
Iceland,2005,Births attended by skilled health personnel (%),99
Iceland,2004,Births attended by skilled health personnel (%),99.4
Iceland,2003,Births attended by skilled health personnel (%),99.4
Iceland,2002,Births attended by skilled health personnel (%),99.4
Iceland,2001,Births attended by skilled health personnel (%),99.5
Iceland,2000,Births attended by skilled health personnel (%),99.3
India,2016,Births attended by skilled health personnel (%),81.4
India,2014,Births attended by skilled health personnel (%),81.4
India,2008,Births attended by skilled health personnel (%),52.3
India,2006,Births attended by skilled health personnel (%),46.6
Indonesia,2019,Births attended by skilled health personnel (%),94.7
Indonesia,2018,Births attended by skilled health personnel (%),93.6
Indonesia,2017,Births attended by skilled health personnel (%),93.25
Indonesia,2016,Births attended by skilled health personnel (%),92.6
Indonesia,2013,Births attended by skilled health personnel (%),87.4
Indonesia,2012,Births attended by skilled health personnel (%),83.1
Indonesia,2007,Births attended by skilled health personnel (%),73
Iran (Islamic Republic of),2014,Births attended by skilled health personnel (%),99
Iran (Islamic Republic of),2013,Births attended by skilled health personnel (%),98.8
Iran (Islamic Republic of),2012,Births attended by skilled health personnel (%),98.8
Iran (Islamic Republic of),2011,Births attended by skilled health personnel (%),98.5
Iran (Islamic Republic of),2010,Births attended by skilled health personnel (%),96.4
Iran (Islamic Republic of),2009,Births attended by skilled health personnel (%),97.7
Iran (Islamic Republic of),2005,Births attended by skilled health personnel (%),97.3
Iraq,2018,Births attended by skilled health personnel (%),95.6
Iraq,2012,Births attended by skilled health personnel (%),70.4
Iraq,2011,Births attended by skilled health personnel (%),90.9
Iraq,2007,Births attended by skilled health personnel (%),79.7
Iraq,2006,Births attended by skilled health personnel (%),88.5
Ireland,2016,Births attended by skilled health personnel (%),99.7
Ireland,2015,Births attended by skilled health personnel (%),99.7
Ireland,2014,Births attended by skilled health personnel (%),99.7
Ireland,2013,Births attended by skilled health personnel (%),99.8
Ireland,2012,Births attended by skilled health personnel (%),99.8
Ireland,2011,Births attended by skilled health personnel (%),99.8
Ireland,2010,Births attended by skilled health personnel (%),99.8
Ireland,2009,Births attended by skilled health personnel (%),99.8
Ireland,2008,Births attended by skilled health personnel (%),99.8
Ireland,2007,Births attended by skilled health personnel (%),99.7
Ireland,2006,Births attended by skilled health personnel (%),99.7
Ireland,2005,Births attended by skilled health personnel (%),99.7
Ireland,2004,Births attended by skilled health personnel (%),99.7
Ireland,2003,Births attended by skilled health personnel (%),99.6
Ireland,2002,Births attended by skilled health personnel (%),99.5
Ireland,2001,Births attended by skilled health personnel (%),99.6
Ireland,2000,Births attended by skilled health personnel (%),99.6
Italy,2016,Births attended by skilled health personnel (%),99.9
Italy,2015,Births attended by skilled health personnel (%),99.9
Italy,2014,Births attended by skilled health personnel (%),99.9
Italy,2013,Births attended by skilled health personnel (%),99.9
Italy,2011,Births attended by skilled health personnel (%),99.9
Italy,2010,Births attended by skilled health personnel (%),99.9
Italy,2009,Births attended by skilled health personnel (%),99.8
Italy,2008,Births attended by skilled health personnel (%),99.8
Italy,2007,Births attended by skilled health personnel (%),99.6
Italy,2006,Births attended by skilled health personnel (%),99.8
Italy,2005,Births attended by skilled health personnel (%),99.8
Italy,2004,Births attended by skilled health personnel (%),99.8
Italy,2003,Births attended by skilled health personnel (%),99.6
Italy,2002,Births attended by skilled health personnel (%),99.6
Jamaica,2016,Births attended by skilled health personnel (%),99.7
Jamaica,2015,Births attended by skilled health personnel (%),99.9
Jamaica,2011,Births attended by skilled health personnel (%),99.1
Jamaica,2010,Births attended by skilled health personnel (%),90.1
Jamaica,2009,Births attended by skilled health personnel (%),95.7
Jamaica,2007,Births attended by skilled health personnel (%),93
Jamaica,2005,Births attended by skilled health personnel (%),96.7
Japan,2018,Births attended by skilled health personnel (%),99.9
Japan,2017,Births attended by skilled health personnel (%),99.9
Japan,2016,Births attended by skilled health personnel (%),99.8
Japan,2015,Births attended by skilled health personnel (%),99.9
Japan,2014,Births attended by skilled health personnel (%),99.8
Japan,2012,Births attended by skilled health personnel (%),99.8
Japan,2011,Births attended by skilled health personnel (%),99.8
Japan,2010,Births attended by skilled health personnel (%),99.8
Japan,2009,Births attended by skilled health personnel (%),99.8
Japan,2008,Births attended by skilled health personnel (%),99.8
Japan,2007,Births attended by skilled health personnel (%),99.8
Japan,2006,Births attended by skilled health personnel (%),99.8
Japan,2005,Births attended by skilled health personnel (%),99.8
Japan,2004,Births attended by skilled health personnel (%),99.8
Japan,2003,Births attended by skilled health personnel (%),99.8
Japan,2002,Births attended by skilled health personnel (%),99.8
Japan,2001,Births attended by skilled health personnel (%),99.8
Japan,2000,Births attended by skilled health personnel (%),99.8
Jordan,2018,Births attended by skilled health personnel (%),99.7
Jordan,2012,Births attended by skilled health personnel (%),99.6
Jordan,2007,Births attended by skilled health personnel (%),99.1
Kazakhstan,2018,Births attended by skilled health personnel (%),99.9
Kazakhstan,2017,Births attended by skilled health personnel (%),99.9
Kazakhstan,2016,Births attended by skilled health personnel (%),99.9
Kazakhstan,2015,Births attended by skilled health personnel (%),99.4
Kazakhstan,2014,Births attended by skilled health personnel (%),99.99
Kazakhstan,2013,Births attended by skilled health personnel (%),99.99
Kazakhstan,2012,Births attended by skilled health personnel (%),99.99
Kazakhstan,2011,Births attended by skilled health personnel (%),99.9
Kazakhstan,2010,Births attended by skilled health personnel (%),99.4
Kazakhstan,2009,Births attended by skilled health personnel (%),99.4
Kazakhstan,2008,Births attended by skilled health personnel (%),99.3
Kazakhstan,2006,Births attended by skilled health personnel (%),99.5
Kazakhstan,2005,Births attended by skilled health personnel (%),99.4
Kazakhstan,2004,Births attended by skilled health personnel (%),99.4
Kazakhstan,2003,Births attended by skilled health personnel (%),99.4
Kazakhstan,2002,Births attended by skilled health personnel (%),98.9
Kazakhstan,2001,Births attended by skilled health personnel (%),98.5
Kazakhstan,2000,Births attended by skilled health personnel (%),98.3
Kenya,2014,Births attended by skilled health personnel (%),61.8
Kenya,2009,Births attended by skilled health personnel (%),43.8
Kiribati,2010,Births attended by skilled health personnel (%),98.3
Kiribati,2009,Births attended by skilled health personnel (%),79.8
Kiribati,2008,Births attended by skilled health personnel (%),65
Kiribati,2005,Births attended by skilled health personnel (%),63
Kiribati,2002,Births attended by skilled health personnel (%),76
Kiribati,2000,Births attended by skilled health personnel (%),85
Kuwait,2016,Births attended by skilled health personnel (%),99.9
Kuwait,2015,Births attended by skilled health personnel (%),99.9
Kuwait,2014,Births attended by skilled health personnel (%),98.7
Kuwait,2013,Births attended by skilled health personnel (%),98.7
Kuwait,2012,Births attended by skilled health personnel (%),98.8
Kuwait,2011,Births attended by skilled health personnel (%),98.8
Kuwait,2010,Births attended by skilled health personnel (%),98.6
Kuwait,2009,Births attended by skilled health personnel (%),98.7
Kuwait,2008,Births attended by skilled health personnel (%),98.7
Kuwait,2007,Births attended by skilled health personnel (%),98.7
Kuwait,2006,Births attended by skilled health personnel (%),98.7
Kuwait,2005,Births attended by skilled health personnel (%),98.6
Kuwait,2004,Births attended by skilled health personnel (%),98.3
Kyrgyzstan,2018,Births attended by skilled health personnel (%),99.8
Kyrgyzstan,2014,Births attended by skilled health personnel (%),99
Kyrgyzstan,2013,Births attended by skilled health personnel (%),99
Kyrgyzstan,2012,Births attended by skilled health personnel (%),98.8
Kyrgyzstan,2011,Births attended by skilled health personnel (%),98.6
Kyrgyzstan,2010,Births attended by skilled health personnel (%),98.3
Kyrgyzstan,2009,Births attended by skilled health personnel (%),98.5
Kyrgyzstan,2008,Births attended by skilled health personnel (%),98.5
Kyrgyzstan,2007,Births attended by skilled health personnel (%),98.4
Kyrgyzstan,2006,Births attended by skilled health personnel (%),97.6
Kyrgyzstan,2005,Births attended by skilled health personnel (%),97.9
Kyrgyzstan,2004,Births attended by skilled health personnel (%),98.2
Kyrgyzstan,2003,Births attended by skilled health personnel (%),98.9
Kyrgyzstan,2002,Births attended by skilled health personnel (%),98.8
Kyrgyzstan,2001,Births attended by skilled health personnel (%),98.7
Kyrgyzstan,2000,Births attended by skilled health personnel (%),98.6
Lao People's Democratic Republic,2017,Births attended by skilled health personnel (%),64.4
Lao People's Democratic Republic,2012,Births attended by skilled health personnel (%),40.1
Lao People's Democratic Republic,2006,Births attended by skilled health personnel (%),18.9
Lao People's Democratic Republic,2005,Births attended by skilled health personnel (%),14.6
Latvia,2017,Births attended by skilled health personnel (%),99.9
Latvia,2016,Births attended by skilled health personnel (%),99.9
Latvia,2015,Births attended by skilled health personnel (%),99.9
Latvia,2014,Births attended by skilled health personnel (%),98.1
Latvia,2013,Births attended by skilled health personnel (%),98.4
Latvia,2012,Births attended by skilled health personnel (%),98.6
Latvia,2011,Births attended by skilled health personnel (%),98.6
Latvia,2010,Births attended by skilled health personnel (%),98.8
Latvia,2009,Births attended by skilled health personnel (%),98.9
Latvia,2008,Births attended by skilled health personnel (%),99.1
Latvia,2007,Births attended by skilled health personnel (%),99.4
Lesotho,2018,Births attended by skilled health personnel (%),86.6
Lesotho,2014,Births attended by skilled health personnel (%),77.9
Lesotho,2009,Births attended by skilled health personnel (%),61.5
Liberia,2013,Births attended by skilled health personnel (%),61.1
Liberia,2007,Births attended by skilled health personnel (%),46.3
Libya,2013,Births attended by skilled health personnel (%),99.9
Libya,2012,Births attended by skilled health personnel (%),99.9
Libya,2011,Births attended by skilled health personnel (%),99.9
Libya,2010,Births attended by skilled health personnel (%),99.9
Libya,2007,Births attended by skilled health personnel (%),98.3
Lithuania,2014,Births attended by skilled health personnel (%),100
Lithuania,2013,Births attended by skilled health personnel (%),100
Lithuania,2012,Births attended by skilled health personnel (%),100
Lithuania,2011,Births attended by skilled health personnel (%),100
Lithuania,2010,Births attended by skilled health personnel (%),100
Lithuania,2009,Births attended by skilled health personnel (%),100
Lithuania,2008,Births attended by skilled health personnel (%),100
Lithuania,2007,Births attended by skilled health personnel (%),100
Lithuania,2006,Births attended by skilled health personnel (%),100
Lithuania,2005,Births attended by skilled health personnel (%),100
Lithuania,2004,Births attended by skilled health personnel (%),100
Lithuania,2003,Births attended by skilled health personnel (%),100
Lithuania,2002,Births attended by skilled health personnel (%),100
Lithuania,2001,Births attended by skilled health personnel (%),100
Lithuania,2000,Births attended by skilled health personnel (%),100
Luxembourg,2009,Births attended by skilled health personnel (%),99.9
Luxembourg,2003,Births attended by skilled health personnel (%),99.9
